interview__keyDoublon;idExploitDoublon;numAffectationDoublon;comment;interview__key;idExploit;numAffectation;Valide;TODO
33-58-60-51;C489;22661;;66-01-52-40;C479;22534;;
51-65-84-21;P6751;20808;;13-73-03-25;C534;23445;non;
65-38-82-19;P3428;23404;;79-24-92-53;C535;23436;non;
48-27-82-76;P101;18508;;17-84-19-83;C6;18365;non;
41-79-80-39;C782;21442;;33-29-10-08;C646;18485;;
48-00-57-58;C607;25114;;95-98-02-25;C656;18700;;
39-10-84-78;C1560;18702;;38-80-41-21;C657;18694;;
48-90-87-94;C1608;22174;;44-10-88-53;C667;19058;;
80-16-14-41;P4401;19407;;29-31-43-13;C699;19673;non;
99-22-63-01;C76;19912;;19-87-82-36;C72;19908;;
47-76-53-48;C769;21189;;23-15-40-94;C748;20675;;
24-47-36-44;C622;25543;;90-19-20-02;C771;21287;;
35-93-64-42;C880;23481;;90-19-20-02;C771;21287;;
21-57-93-94;C1402;18591;;00-61-42-00;C775;21285;;
15-37-80-86;C717;19705;;71-38-22-46;C777;21336;;
61-17-27-53;C75;19900;;47-85-31-37;C78;19904;;
94-61-34-64;C1083;19254;;65-39-98-78;C797;21595;;
60-79-39-60;C909;23789;;51-85-43-17;C910;23797;;
78-49-16-77;P5598;23853;;60-76-78-43;C917;23857;non;
27-13-19-44;P5681;24264;;29-77-22-57;C958;24278;non;
34-58-74-39;P8651;24614;;48-85-19-07;C970;24607;non;
06-47-34-75;P1096;22311;;97-64-63-20;M10012;22328;;
00-07-95-65;P7626;24100;;52-45-36-43;M10016;24137;;
97-31-92-92;P7628;24145;;52-45-36-43;M10016;24137;;
46-18-30-37;P1170;22571;;71-07-78-24;M10025;22535;;
09-64-38-43;P77;25649;;56-94-29-29;M10026;18339;;
92-63-47-13;P81;18351;;56-94-29-29;M10026;18339;;
29-97-65-61;P9123;26513;;56-94-29-29;M10026;18339;;
93-19-33-03;P393;19498;;82-46-44-60;M10027;19687;;
89-90-37-85;P6655;20451;;17-00-17-04;M10063;20711;;
31-22-44-60;P8844;21690;;85-16-72-24;M10071;24639;;
79-31-10-34;M10354;26487;;98-78-17-87;M10076;20115;;
44-13-08-36;M10253;20992;;33-96-68-81;M10090;21007;;
73-08-16-68;P6138;18558;;82-81-37-49;M10102;18548;;
45-26-63-35;P5124;22022;;05-99-86-71;M10157;21402;;
00-45-04-96;M10112;24784;;97-84-31-86;M10197;25280;;
99-41-82-01;P8027;18924;;43-38-13-73;M10205;18934;;
64-57-22-36;P6049;18260;;42-97-67-10;M10237;18243;;
30-54-21-37;P1327;23263;;88-24-43-20;M10238;23282;;
71-39-07-38;P2087;18539;;44-13-08-36;M10253;20992;;
27-82-46-90;P6968;21555;;79-19-33-33;M10258;22917;;
67-88-30-29;P4461;19598;;82-99-37-20;M10292;19620;;
85-81-80-38;P8296;19825;;88-90-47-14;M10311;24456;;
48-63-70-89;P979;21885;;99-90-05-20;M10315;21897;;
50-44-61-74;P2666;20676;;56-57-30-98;M10316;20685;;
01-03-66-57;P5126;21983;;09-58-73-26;M10336;21168;;
16-97-81-56;P1125;22427;;14-33-36-38;P1122;22386;;
18-28-42-35;P918;21639;;20-17-83-66;P1129;22420;;
70-10-31-55;P1228;22875;;99-67-78-33;P1240;22911;;
32-13-64-58;P9141;26590;;99-67-78-33;P1240;22911;;
83-49-50-05;C175;23011;;61-91-93-82;P1255;22941;OK;
78-87-28-62;P6048;18235;;53-80-84-20;P1384;23516;;
60-70-84-71;P6052;18276;;53-80-84-20;P1384;23516;;
95-12-36-37;P6959;21530;;36-35-41-60;P168;18758;;
44-92-00-04;P7162;22214;;36-35-41-60;P168;18758;;
54-12-63-41;P5280;22533;;18-12-80-74;P1682;24623;;
01-97-48-32;C259;24682;;53-70-45-03;P1703;24650;OK;
69-51-58-91;P5651;24088;;23-01-17-35;P1801;25001;;
66-60-43-72;P1805;25152;;56-39-47-27;P1806;25144;;
12-58-81-83;P7793;24695;;96-01-49-78;P1807;25141;;
73-79-92-31;M10209;25005;;52-64-13-07;P1811;25032;;
45-42-12-78;P1614;24372;;75-79-00-89;P1833;25055;;
84-87-95-50;P1871;25196;;71-03-07-19;P1870;25192;;
13-28-22-01;P3409;23331;;71-03-07-19;P1870;25192;;
04-85-23-03;P2097;18632;;88-75-23-69;P2099;18618;;
52-21-40-20;P2148;18817;;39-54-10-91;P2146;18806;;
69-80-59-02;P676;20752;;06-94-17-56;P2238;19170;;
95-85-32-98;P9026;26447;;42-69-24-56;P2255;19418;;
05-59-88-48;P525;19966;;44-05-90-96;P2268;19245;;
14-47-77-55;P3341;23081;;93-47-18-67;P2377;19684;;
39-57-50-54;P7584;23980;;00-97-73-83;P2589;20412;;
19-15-82-29;P2314;19450;;81-50-62-14;P2650;20636;;
48-23-10-46;P7580;23988;;78-13-04-33;P2659;18167;;
30-48-93-74;P2661;20683;;50-44-61-74;P2666;20676;;
27-43-07-65;P4155;18521;;98-75-10-36;P2700;20770;;
03-66-04-21;P1359;23435;;15-61-31-73;P2765;20998;;
98-93-91-64;P8470;22103;;85-44-95-14;P3048;22095;;
47-66-01-98;P6131;18833;;21-19-07-94;P3160;22407;;
72-63-88-06;C742;20514;;99-42-00-07;P3179;22475;OK;
93-36-41-49;P2065;18434;;56-13-14-46;P3339;23053;;
58-86-98-54;C1522;23098;;18-04-77-69;P3348;23085;OK;
83-29-32-55;P3488;23632;;00-80-60-50;P3487;23623;;
91-92-12-10;P3490;23627;;00-80-60-50;P3487;23623;;
72-94-78-90;P7983;25455;;00-80-60-50;P3487;23623;;
52-02-62-51;P8506;23614;;84-22-07-14;P3489;23619;;
36-96-32-84;C550;24029;;30-42-66-21;P3582;23975;OK;
40-07-08-31;P3591;24044;;99-32-96-90;P3596;24074;;
11-65-31-85;P3597;24082;;99-32-96-90;P3596;24074;;
01-21-35-11;P365;19600;;01-76-48-37;P373;19619;;
46-99-09-28;P368;19588;;01-76-48-37;P373;19619;;
16-45-31-18;P374;19610;;01-76-48-37;P373;19619;;
51-66-20-60;C575;24533;;43-85-24-04;P3736;24508;OK;
38-14-75-16;P1371;23463;;36-53-69-49;P3986;25467;;
07-74-61-19;P9212;26524;;11-39-43-79;P4311;19070;;
58-80-88-28;C676;19209;;05-89-84-17;P4337;19192;OK;
47-75-86-83;P2236;19122;;47-13-87-51;P4375;19300;;
