culture_id;CultureRGA;idSeuilRGA;LibelleSeuilRGA;;;;;;;;;;;;;;;;;;
504;Hibiscus (comestible);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
505;Moringa;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
506;Nono;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
507;Poivrier;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
508;Tamanu;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
509;Vanillier - ombrage naturel;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
510;Vanillier - serre ou ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
511;Autres (canelle, santal, bancoulier...);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
601;Ornementales (plantes vertes et potées fleuries, orchidées...);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
602;Fruitières;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
603;Maraichères, aromatiques;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
604;Médicinales;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
701;Paturage/Prairie naturelle;;;;;;;;;;;;;;;;;;;;
702;Pâturage/Prairie améliorée;;;;;;;;;;;;;;;;;;;;
703;Maïs fourrage et ensilage;;;;;;;;;;;;;;;;;;;;
704;Sorgho;;;;;;;;;;;;;;;;;;;;
705;Autres;;;;;;;;;;;;;;;;;;;;
801;Jachère;;;;;;;;;;;;;;;;;;;;
802;Jachère améliorée (plantée, engrais vert);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
